id,title,author,license,url
4850,"Preludes, Book 2 - ",Paul Pitman,cc0,https://freemusicarchive.org/music/Paul_Pitman/Favorite_Works/Preludes_Book_2_-_/
4851,"Preludes, Book 2 - La puerta del Vino",Paul Pitman,cc0,https://freemusicarchive.org/music/Paul_Pitman/Favorite_Works/Preludes_Book_2_-_La_puerta_del_Vino/
6674,Introduction: (Re)percussions,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Introduction_Repercussions/
6675,The End of Senseless Beating,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/The_End_of_Senseless_Beating/
6676,Knocking the Subject,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Knocking_the_Subject/
6677,Index,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Index/
6678,Notes,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Notes/
6679,Different Strokes for Different Folks,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Different_Strokes_for_Different_Folks/
6680,Sound of the City:  A Musician is Being Beaten,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Sound_of_the_City__A_Musician_is_Being_Beaten/
6681,Afterword,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Afterword/
6682,Works Cited,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Works_Cited/
6683,A Drum of One's Own,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/A_Drum_of_Ones_Own/
6684,Preface,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Preface/
6713,Acknowledgements,Jarrod Fowler,ccby,https://freemusicarchive.org/music/Jarrod_Fowler/Percussion_As_Percussion/Acknowledgements_1121/
7481,Seeing You Out,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Seeing_You_Out/
7482,Seeing Things Intro,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Seeing_Things_Intro/
7483,Doom Days,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Doom_Days/
7484,Dust In my Attic,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Dust_In_my_Attic/
7485,Every Damn Day People,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Every_Damn_Day_People/
7487,The Robot's Heel,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/The_Robots_Heel/
7488,The Discovery,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/The_Discovery/
7489,Too Much to deal with,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Too_Much_to_deal_with/
7490,Follow That,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/Follow_That/
7491,broke Pimpin,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/broke_Pimpin/
7492,In the Dark,BrokeMC,ccby,https://freemusicarchive.org/music/BrokeMC/Seeing_Things/In_the_Dark/
7540,(full set),Z'EV,cc0,https://freemusicarchive.org/music/ZEV/Live_at_WFMU_on_Brian_Turners_Show_on_4102007_w_Sikhara/full_set_1586/
7824,w00t,Bob Ostertag,ccby,https://freemusicarchive.org/music/Bob_Ostertag/w00t/w00t/
8642,Astrosmash,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Astrosmash_1238/
8643,Dreary Dream,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Dreary_Dream_1665/
8644,Ghost + Bumblebee,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Ghost__Bumblebee/
8645,Sungazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Sungazing/
8646,Murmur,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Murmur_1571/
8647,Zodiac,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Zodiac_1569/
8648,Nightingale,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Nightingale_1997/
8649,Igloo,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Igloo_1484/
8650,Honey Pie,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Honey_Pie/
8651,Gypsy Dance + Igloo,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Gypsy_Dance__Igloo/
8652,Bornpilot,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Bornpilot/
8653,Stargazing,Chamomile,ccby,https://freemusicarchive.org/music/Chamomile/A_History_of_Might_and_Mystery/Stargazing/
